SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,Stage,Anticipated,ResponseTime
0,7_2,11_42_58,100.1172,2,0,2,0,0,CS+,9,44.88385
0,7_2,11_44_22,183.9684,3,0,2,0,0,CS+,9,4.622192
