SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,Stage,xPos,yPos,zPos,xRot,yRot,zRot
0,7_2,11_41_22,3.784495,1,0,0,1,0.5833206,InstructionPhase,-0.04982555,2.521314,0.1555622,0.4206952,4.842219,355.8258,
0,7_2,11_41_22,3.797113,1,0,0,1,0.5959384,InstructionPhase,-0.04911864,2.521593,0.1552111,0.3481223,5.097776,355.9465,
0,7_2,11_41_22,3.809062,1,0,0,1,0.6078873,InstructionPhase,-0.04844749,2.521785,0.154906,0.2692524,5.337621,356.0598,
0,7_2,11_41_22,3.822495,1,0,0,1,0.6213212,InstructionPhase,-0.04786015,2.521973,0.1545383,0.2108178,5.557578,356.1794,
0,7_2,11_41_22,3.836814,1,0,0,1,0.6356394,InstructionPhase,-0.0465647,2.52237,0.1539433,0.08536294,6.026904,356.3909,
0,7_2,11_41_22,3.849034,1,0,0,1,0.6478601,InstructionPhase,-0.04604936,2.522539,0.1536444,0.08570199,6.210436,356.4877,
0,7_2,11_41_22,3.863109,1,0,0,1,0.6619351,InstructionPhase,-0.04556715,2.522468,0.1534406,0.1376105,6.367249,356.563,
0,7_2,11_41_22,3.876092,1,0,0,1,0.6749179,InstructionPhase,-0.0451014,2.522363,0.1532607,0.2236437,6.504226,356.6495,
0,7_2,11_41_22,3.888827,1,0,0,1,0.6876528,InstructionPhase,-0.04465485,2.522254,0.153131,0.2994694,6.641897,356.7423,
0,7_2,11_41_22,3.901659,1,0,0,1,0.700485,InstructionPhase,-0.04376936,2.522031,0.1529282,0.4378532,6.926964,356.9287,
0,7_2,11_41_22,3.914079,1,0,0,1,0.7129052,InstructionPhase,-0.04349256,2.521831,0.1528965,0.5202996,7.037732,357.0103,
0,7_2,11_41_22,3.926025,1,0,0,1,0.7248511,InstructionPhase,-0.04317415,2.521618,0.1529791,0.6275663,7.141698,357.0807,
0,7_2,11_41_22,3.938374,1,0,0,1,0.7371993,InstructionPhase,-0.04296446,2.521347,0.1530112,0.7380748,7.234997,357.1423,
0,7_2,11_41_22,3.951027,1,0,0,1,0.7498524,InstructionPhase,-0.04290426,2.521048,0.15308,0.8730695,7.296598,357.2489,
0,7_2,11_41_22,3.963691,1,0,0,1,0.762517,InstructionPhase,-0.04278195,2.520744,0.1531175,0.9928638,7.349159,357.355,
0,7_2,11_41_22,3.977846,1,0,0,1,0.7766714,InstructionPhase,-0.04274917,2.520437,0.1532563,1.101883,7.386503,357.5202,
0,7_2,11_41_22,3.991331,1,0,0,1,0.7901571,InstructionPhase,-0.04265106,2.519881,0.1534088,1.328246,7.499796,357.8,
0,7_2,11_41_22,4.003604,1,0,0,1,0.8024297,InstructionPhase,-0.04272676,2.519529,0.153566,1.474721,7.492828,357.9749,
0,7_2,11_41_22,4.016476,1,0,0,1,0.8153014,InstructionPhase,-0.04288507,2.519148,0.1536915,1.627579,7.504176,358.153,
0,7_2,11_41_22,4.02831,1,0,0,1,0.827136,InstructionPhase,-0.04304993,2.518723,0.153818,1.790276,7.50691,358.3492,
0,7_2,11_41_22,4.051017,1,0,0,1,0.8498425,InstructionPhase,-0.04336596,2.517998,0.153913,2.036483,7.567755,358.7596,
0,7_2,11_41_22,4.063107,1,0,0,1,0.8619323,InstructionPhase,-0.04359102,2.517731,0.15399,2.121335,7.596622,358.9718,
