SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,screenFixationX,screenFixationY,gazeFixationX,gazeFixationY,gazeFixationZ,localGazeX,localGazeY,localGazeZ,leftEyePositionX,leftEyePositionY,leftEyePositionZ,rightEyePositionX,rightEyePositionY,rightEyePositionZ,leftEyeRotationX,leftEyeRotationY,leftEyeRotationZ,rightEyeRotationX,rightEyeRotationY,rightEyeRotationZ,leftEyePupilSize,rightEyePupilSize,leftEyeOpenAmount,rightEyeOpenAmount,GazeHitPointX,GazeHitPointY,GazeHitPointZ,GameObjectInFocus
0,6_23,12_3_41,10.85869,1,0,0,1,0.3102398,0.50, 0.55,-0.15, 2.06, 2.13,0.05, -0.11, 0.99,32.48, 3.55, -44.56,-31.37, 2.33, -43.53,-0.02, -0.02, 1.00,0.02, -0.03, 1.00,4.330338,4.344803,1,1,0.008807063,1.039904,5.42,Plane (9)
0,6_23,12_3_41,10.86946,1,0,0,1,0.3210058,0.50, 0.55,-0.15, 2.07, 2.13,0.04, -0.10, 0.99,32.50, 3.59, -44.54,-31.28, 2.58, -44.13,0.01, 0.01, 1.00,0.04, 0.03, 1.00,4.139587,4.450974,1,1,-0.08820271,1.24681,5.42,Plane (9)
0,6_23,12_3_41,10.88047,1,0,0,1,0.332016,0.50, 0.55,-0.15, 2.07, 2.13,0.04, -0.09, 0.99,32.52, 3.52, -44.37,-31.27, 2.53, -44.04,0.01, 0.02, 1.00,0.04, 0.04, 1.00,4.217438,4.44043,1,1,-0.04705703,1.266665,5.42,Plane (9)
0,6_23,12_3_41,10.89171,1,0,0,1,0.3432617,0.50, 0.55,-0.16, 2.08, 2.13,0.04, -0.09, 1.00,32.54, 3.44, -44.27,-31.26, 2.33, -43.61,0.01, 0.02, 1.00,0.05, 0.03, 1.00,4.098648,4.317688,1,1,-0.06096527,1.294406,5.42,Plane (9)
0,6_23,12_3_41,10.90268,1,0,0,1,0.3542252,0.49, 0.55,-0.16, 2.09, 2.14,0.04, -0.08, 1.00,32.56, 3.41, -44.25,-31.26, 2.12, -43.10,0.00, 0.02, 1.00,0.05, 0.02, 1.00,4.095016,4.374237,1,1,-0.02976573,1.291741,5.42,Plane (9)
0,6_23,12_3_41,10.91379,1,0,0,1,0.3653412,0.49, 0.55,-0.16, 2.09, 2.14,0.03, -0.08, 1.00,32.56, 3.36, -44.15,-31.26, 2.09, -43.06,-0.01, 0.02, 1.00,0.06, 0.02, 1.00,4.059189,4.149841,1,1,0.05642787,1.297893,5.42,Plane (9)
0,6_23,12_3_41,10.92584,1,0,0,1,0.3773842,0.49, 0.55,-0.16, 2.10, 2.14,0.03, -0.07, 1.00,32.58, 3.31, -44.11,-31.26, 2.02, -42.91,-0.02, 0.02, 1.00,0.06, 0.02, 1.00,3.920273,4.148483,1,1,0.1025102,1.308669,5.42,Plane (9)
0,6_23,12_3_41,10.93801,1,0,0,1,0.3895569,0.49, 0.55,-0.16, 2.10, 2.14,0.03, -0.06, 1.00,32.59, 3.32, -44.13,-31.25, 2.02, -42.89,0.00, 0.02, 1.00,0.06, 0.02, 1.00,4.021866,4.147949,1,1,-0.0145416,1.276131,5.42,Plane (9)
0,6_23,12_3_41,10.94972,1,0,0,1,0.401268,0.49, 0.55,-0.16, 2.11, 2.14,0.03, -0.06, 1.00,32.60, 3.36, -44.24,-31.25, 2.02, -42.89,-0.01, 0.02, 1.00,0.06, 0.02, 1.00,3.935883,4.155945,1,1,0.05372062,1.295132,5.42,Plane (9)
0,6_23,12_3_41,10.96168,1,0,0,1,0.413229,0.49, 0.56,-0.17, 2.11, 2.14,0.03, -0.06, 1.00,32.61, 3.39, -44.29,-31.25, 2.06, -42.98,-0.02, 0.01, 1.00,0.07, 0.02, 1.00,3.854019,4.049622,1,1,0.07477796,1.24937,5.42,Plane (9)
0,6_23,12_3_41,10.97387,1,0,0,1,0.425416,0.49, 0.56,-0.17, 2.12, 2.14,0.03, -0.05, 1.00,32.61, 3.47, -44.45,-31.25, 2.08, -42.99,-0.01, 0.02, 1.00,0.08, 0.02, 1.00,3.923553,4.030182,1,1,-0.1798421,1.305382,5.42,Plane (9)
