SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,Anticipated,ResponseTime
0,6_23,12_4_35,64.99165,2,0,2,0,0,2,3.898254
0,6_23,12_5_58,148.1948,3,0,2,0,0,9,4.033936
