SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,screenFixationX,screenFixationY,gazeFixationX,gazeFixationY,gazeFixationZ,localGazeX,localGazeY,localGazeZ,leftEyePositionX,leftEyePositionY,leftEyePositionZ,rightEyePositionX,rightEyePositionY,rightEyePositionZ,leftEyeRotationX,leftEyeRotationY,leftEyeRotationZ,rightEyeRotationX,rightEyeRotationY,rightEyeRotationZ,leftEyePupilSize,rightEyePupilSize,leftEyeOpenAmount,rightEyeOpenAmount,GazeHitPointX,GazeHitPointY,GazeHitPointZ,GameObjectInFocus,LookDuration,AvgEyeMoveDist
0,4_3,11_24_19,4.204629,1,0,0,0,0.2293296,0.67,0.59,0.61,1.59,1.71,-0.07,-0.05,1.0,33.24,2.24,-34.21,-30.91,0.39,-31.11,0.05,-0.07,1.0,0.09,-0.04,1.0,4.033447,4.15802,1.0,1.0,-0.86,1.19,5.44,Front Wall,12.404443,0.09391114060359804
0,4_3,11_24_19,4.215867,1,0,0,0,0.2405667,0.67,0.59,0.61,1.59,1.71,-0.07,-0.05,1.0,33.24,2.24,-34.21,-30.91,0.39,-31.11,0.05,-0.07,1.0,0.09,-0.04,1.0,4.033417,4.158401,1.0,1.0,-0.86,1.19,5.44,Front Wall,12.404443,0.09391114060359804
0,4_3,11_24_19,4.227734,1,0,0,0,0.2524343,0.67,0.59,0.61,1.59,1.71,-0.07,-0.05,1.0,33.24,2.24,-34.21,-30.9,0.39,-31.12,0.05,-0.07,1.0,0.09,-0.04,1.0,4.032516,4.1577,1.0,1.0,-0.86,1.18,5.44,Front Wall,12.404443,0.09391114060359804
0,4_3,11_24_19,4.240776,1,0,0,0,0.2654762,0.67,0.59,0.61,1.59,1.71,-0.07,-0.05,1.0,33.23,2.24,-34.22,-30.9,0.38,-31.13,0.05,-0.07,1.0,0.09,-0.04,1.0,4.04007,4.15715,1.0,1.0,-0.86,1.18,5.44,Front Wall,12.404443,0.09391114060359804
0,4_3,11_24_19,4.253896,1,0,0,0,0.2785964,0.67,0.59,0.61,1.59,1.71,-0.07,-0.05,1.0,33.23,2.24,-34.24,-30.9,0.38,-31.13,0.05,-0.07,1.0,0.09,-0.04,1.0,4.039017,4.159164,1.0,1.0,-0.85,1.18,5.44,Front Wall,12.404443,0.09391114060359804
0,4_3,11_24_19,4.265581,1,0,0,0,0.2902813,0.67,0.59,0.61,1.58,1.71,-0.07,-0.05,1.0,33.23,2.23,-34.23,-30.9,0.38,-31.13,0.04,-0.07,1.0,0.09,-0.04,1.0,4.038788,4.161987,1.0,1.0,-0.85,1.17,5.44,Front Wall,12.404443,0.09391114060359804
0,4_3,11_24_19,4.277806,1,0,0,0,0.3025064,0.67,0.59,0.61,1.58,1.71,-0.07,-0.05,1.0,33.23,2.23,-34.24,-30.9,0.38,-31.13,0.04,-0.07,1.0,0.09,-0.05,1.0,4.027893,4.161484,1.0,1.0,-0.86,1.17,5.44,Front Wall,12.404443,0.09391114060359804
0,4_3,11_24_19,4.289433,1,0,0,0,0.3141327,0.67,0.59,0.61,1.58,1.71,-0.07,-0.05,1.0,33.23,2.23,-34.25,-30.9,0.38,-31.13,0.04,-0.07,1.0,0.09,-0.05,0.99,4.027359,4.16478,1.0,1.0,-0.86,1.16,5.44,Front Wall,12.404443,0.09391114060359804
0,4_3,11_24_19,4.301391,1,0,0,0,0.3260908,0.67,0.59,0.61,1.58,1.71,-0.07,-0.05,1.0,33.23,2.24,-34.27,-30.9,0.38,-31.14,0.04,-0.07,1.0,0.09,-0.05,0.99,4.016083,4.16124,1.0,1.0,-0.87,1.17,5.44,Front Wall,12.404443,0.09391114060359804
0,4_3,11_24_19,4.314765,1,0,0,0,0.3394651,0.67,0.59,0.61,1.58,1.71,-0.07,-0.05,1.0,33.22,2.24,-34.28,-30.89,0.38,-31.14,0.04,-0.07,1.0,0.09,-0.05,0.99,4.012207,4.160736,1.0,1.0,-0.87,1.17,5.44,Front Wall,12.404443,0.09391114060359804
