SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,screenFixationX,screenFixationY,gazeFixationX,gazeFixationY,gazeFixationZ,localGazeX,localGazeY,localGazeZ,leftEyePositionX,leftEyePositionY,leftEyePositionZ,rightEyePositionX,rightEyePositionY,rightEyePositionZ,leftEyeRotationX,leftEyeRotationY,leftEyeRotationZ,rightEyeRotationX,rightEyeRotationY,rightEyeRotationZ,leftEyePupilSize,rightEyePupilSize,leftEyeOpenAmount,rightEyeOpenAmount,GazeHitPointX,GazeHitPointY,GazeHitPointZ,GameObjectInFocus,LookDuration,AvgEyeMoveDist
0,4_3,11_24_39,24.18998,2,0,1,0,0.1837959,0.76,0.6,23.55,1.45,1.04,-0.25,-0.32,0.91,33.95,0.84,-33.18,-30.18,-0.79,-30.63,0.23,-0.36,0.91,0.26,-0.34,0.9,3.553329,3.604462,0.7974403,0.9018916,21.19,0.06,4.54,CS+ Floor,0.178530000000002,0.09867617110607738
0,4_3,11_24_39,24.20173,2,0,1,0,0.195549,0.76,0.6,23.55,1.45,1.04,-0.25,-0.33,0.91,33.78,0.98,-33.13,-30.3,-0.64,-30.57,0.24,-0.33,0.92,0.25,-0.33,0.91,3.542801,3.654663,0.8233928,0.9011076,21.0,0.06,5.02,CS+ Floor,0.178530000000002,0.09867617110607738
0,4_3,11_24_39,24.21346,2,0,1,0,0.2072849,0.77,0.6,23.56,1.46,1.04,-0.24,-0.32,0.92,33.29,1.32,-32.91,-30.58,-0.27,-30.43,0.15,-0.25,0.96,0.17,-0.23,0.96,3.548645,3.696884,0.8233928,0.9011076,20.28,0.27,8.78,CS+ Wall,7.74925,0.09867617110607738
0,4_3,11_24_39,24.22531,2,0,1,0,0.2191257,0.77,0.6,23.57,1.47,1.05,-0.23,-0.31,0.92,33.19,1.39,-32.89,-30.65,-0.17,-30.45,0.07,-0.18,0.98,0.11,-0.18,0.98,3.351456,3.272202,0.9549345,0.9046133,20.84,0.83,8.78,CS+ Wall,7.74925,0.09867617110607738
0,4_3,11_24_39,24.23849,2,0,1,0,0.2323132,0.77,0.61,23.57,1.48,1.05,-0.22,-0.3,0.93,33.22,1.38,-32.91,-30.7,-0.17,-30.59,0.08,-0.16,0.98,0.11,-0.14,0.98,3.527466,3.462158,1.0,1.0,20.77,1.11,8.78,CS+ Wall,7.74925,0.09867617110607738
0,4_3,11_24_39,24.25078,2,0,1,0,0.2445965,0.77,0.61,23.58,1.49,1.06,-0.22,-0.29,0.93,33.24,1.37,-32.91,-30.72,-0.19,-30.58,0.07,-0.17,0.98,0.12,-0.15,0.98,3.288315,3.445694,1.0,1.0,20.71,1.03,8.78,CS+ Wall,7.74925,0.09867617110607738
0,4_3,11_24_39,24.26328,2,0,1,0,0.2571049,0.77,0.61,23.59,1.49,1.06,-0.21,-0.29,0.93,33.25,1.37,-32.91,-30.74,-0.18,-30.61,0.08,-0.17,0.98,0.13,-0.17,0.98,3.447983,3.291611,1.0,1.0,20.75,0.94,8.78,CS+ Wall,7.74925,0.09867617110607738
0,4_3,11_24_39,24.27807,2,0,1,0,0.2718925,0.78,0.61,23.6,1.5,1.06,-0.2,-0.28,0.94,33.26,1.37,-32.91,-30.75,-0.18,-30.63,0.08,-0.17,0.98,0.12,-0.16,0.98,3.384613,3.294724,1.0,1.0,20.9,0.91,8.78,CS+ Wall,7.74925,0.09867617110607738
0,4_3,11_24_39,24.29224,2,0,1,0,0.2860622,0.78,0.61,23.6,1.51,1.07,-0.2,-0.27,0.94,33.26,1.37,-32.91,-30.76,-0.17,-30.64,0.08,-0.17,0.98,0.12,-0.17,0.98,3.383621,3.30162,1.0,1.0,20.91,0.9,8.78,CS+ Wall,7.74925,0.09867617110607738
0,4_3,11_24_39,24.30511,2,0,1,0,0.2989273,0.78,0.62,23.61,1.52,1.07,-0.19,-0.26,0.95,33.27,1.38,-32.91,-30.77,-0.17,-30.66,0.08,-0.17,0.98,0.12,-0.17,0.98,3.383789,3.317993,1.0,1.0,20.86,0.9,8.78,CS+ Wall,7.74925,0.09867617110607738
0,4_3,11_24_39,24.31608,2,0,1,0,0.3098965,0.78,0.62,23.61,1.52,1.07,-0.18,-0.26,0.95,33.28,1.38,-32.91,-30.77,-0.17,-30.66,0.08,-0.17,0.98,0.12,-0.17,0.98,3.382324,3.308212,1.0,1.0,20.85,0.9,8.78,CS+ Wall,7.74925,0.09867617110607738
0,4_3,11_24_39,24.3303,2,0,1,0,0.3241196,0.78,0.62,23.62,1.53,1.08,-0.18,-0.25,0.95,33.28,1.38,-32.91,-30.77,-0.16,-30.68,0.08,-0.18,0.98,0.12,-0.17,0.98,3.365509,3.307693,1.0,1.0,20.85,0.89,8.78,CS+ Wall,7.74925,0.09867617110607738
0,4_3,11_24_39,24.3429,2,0,1,0,0.3367233,0.78,0.62,23.63,1.53,1.08,-0.17,-0.25,0.95,33.28,1.38,-32.91,-30.77,-0.16,-30.69,0.08,-0.18,0.98,0.12,-0.17,0.98,3.349976,3.307343,1.0,1.0,20.84,0.89,8.78,CS+ Wall,7.74925,0.09867617110607738
