Timestamp (s),Frame,Emotion,Confidence (%)
1.45,73,neutral,99.3
1.47,74,sad,97.8
1.47,74,fear,84.5
1.47,74,neutral,97.0
1.49,75,sad,96.2
1.49,75,fear,84.5
1.49,75,neutral,97.0
1.51,76,sad,48.8
1.51,76,happy,91.2
1.51,76,neutral,98.0
1.53,77,neutral,77.2
1.53,77,sad,91.0
1.53,77,sad,68.7
1.55,78,happy,99.5
1.55,78,sad,62.5
1.55,78,neutral,95.3
1.57,79,happy,99.7
1.57,79,sad,50.6
1.57,79,neutral,92.4
1.59,80,happy,99.7
1.59,80,neutral,49.4
1.59,80,neutral,94.3
1.61,81,happy,77.6
1.61,81,neutral,92.9
1.61,81,neutral,80.2
1.63,82,sad,60.5
1.63,82,sad,96.7
1.63,82,neutral,99.0
1.65,83,sad,60.5
1.65,83,sad,96.5
1.65,83,neutral,99.6
1.67,84,fear,34.6
1.67,84,happy,78.6
1.67,84,angry,40.5
1.69,85,happy,68.5
1.69,85,sad,55.7
1.69,85,neutral,98.2
1.71,86,happy,99.7
1.71,86,neutral,69.6
1.71,86,angry,53.2
1.73,87,happy,99.5
1.73,87,neutral,71.4
1.73,87,angry,52.2
1.75,88,sad,64.8
1.75,88,sad,96.7
1.75,88,angry,74.4
1.75,88,happy,77.8
1.77,89,neutral,88.8
1.77,89,sad,94.2
1.77,89,fear,72.2
1.79,90,fear,78.0
1.79,90,happy,71.0
1.81,91,fear,78.0
1.81,91,happy,71.0
1.83,92,fear,84.0
1.83,92,sad,96.4
1.83,92,neutral,83.3
1.83,92,happy,69.1
1.85,93,neutral,37.9
1.85,93,sad,75.2
1.87,94,happy,97.9
1.87,94,angry,91.1
1.87,94,neutral,56.1
1.87,94,happy,80.3
1.89,95,happy,98.4
1.89,95,neutral,56.1
1.89,95,neutral,92.8
1.89,95,happy,87.1
1.91,96,happy,97.1
1.93,97,happy,56.3
1.95,98,happy,97.1
1.97,99,happy,97.1
1.99,100,neutral,50.5
1.99,100,happy,99.1
2.01,101,neutral,50.5
2.01,101,happy,99.1
2.03,102,neutral,44.2
2.03,102,happy,99.7
2.03,102,happy,95.0
2.03,102,neutral,70.3
2.05,103,fear,62.0
2.05,103,happy,99.6
2.05,103,angry,73.3
2.06,104,fear,62.0
2.06,104,happy,99.6
2.06,104,neutral,59.0
2.08,105,fear,48.5
2.08,105,happy,98.7
2.1,106,fear,64.9
2.1,106,happy,98.7
