SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,GazeHitPointX,GazeHitPointY,GazeHitPointZ
0,3_27,15_42_18,1.613325,1,0,0,0,0.7940705,0.11,0.06,0.45
0,3_27,15_42_18,1.625467,1,0,0,0,0.8062126,0.11,0.06,0.45
0,3_27,15_42_18,1.637459,1,0,0,0,0.8182041,0.11,0.06,0.45
0,3_27,15_42_18,1.649471,1,0,0,0,0.8302162,0.11,0.06,0.44
0,3_27,15_42_18,1.661925,1,0,0,0,0.8426705,0.11,0.06,0.44
0,3_27,15_42_18,1.674084,1,0,0,0,0.8548293,0.11,0.06,0.44
0,3_27,15_42_18,1.687216,1,0,0,0,0.8679618,0.11,0.06,0.44
0,3_27,15_42_18,1.700101,1,0,0,0,0.8808463,0.11,0.06,0.44
0,3_27,15_42_18,1.713007,1,0,0,0,0.8937524,0.11,0.06,0.45
0,3_27,15_42_18,1.726339,1,0,0,0,0.9070845,0.1,0.06,0.45
0,3_27,15_42_18,1.738932,1,0,0,0,0.9196774,0.1,0.06,0.45
0,3_27,15_42_18,1.751873,1,0,0,0,0.9326181,0.1,0.06,0.45
0,3_27,15_42_18,1.764734,1,0,0,0,0.9454799,0.1,0.06,0.45
0,3_27,15_42_18,1.776893,1,0,0,0,0.9576387,0.1,0.06,0.45
0,3_27,15_42_18,1.789834,1,0,0,0,0.9705798,0.1,0.06,0.45
0,3_27,15_42_18,1.80242,1,0,0,0,0.9831652,0.09,0.06,0.45
0,3_27,15_42_18,1.814554,1,0,0,0,0.9952992,0.09,0.06,0.45
0,3_27,15_42_18,1.826474,1,0,0,0,1.00722,0.09,0.06,0.45
0,3_27,15_42_18,1.838707,1,0,0,0,1.019452,0.09,0.06,0.45
0,3_27,15_42_18,1.850447,1,0,0,0,1.031193,0.09,0.06,0.45
0,3_27,15_42_18,1.862563,1,0,0,0,1.043309,0.09,0.06,0.45
0,3_27,15_42_18,1.874878,1,0,0,0,1.055623,0.09,0.06,0.45
0,3_27,15_42_19,1.887986,1,0,0,0,1.068732,0.09,0.06,0.45
0,3_27,15_42_19,1.901202,1,0,0,0,1.081948,0.09,0.06,0.46
0,3_27,15_42_19,1.914017,1,0,0,0,1.094763,0.09,0.06,0.46
0,3_27,15_42_19,1.926311,1,0,0,0,1.107057,0.09,0.06,0.45
0,3_27,15_42_19,1.939007,1,0,0,0,1.119752,0.09,0.06,0.46
0,3_27,15_42_19,1.951552,1,0,0,0,1.132297,0.08,0.06,0.46
0,3_27,15_42_19,1.963857,1,0,0,0,1.144603,0.07,0.06,0.47
0,3_27,15_42_19,1.977095,1,0,0,0,1.15784,0.07,0.06,0.47
0,3_27,15_42_19,1.989953,1,0,0,0,1.170698,0.06,0.06,0.48
0,3_27,15_42_19,2.002016,1,0,0,0,1.182762,0.06,0.06,0.48
0,3_27,15_42_19,2.014958,1,0,0,0,1.195704,0.05,0.06,0.49
0,3_27,15_42_19,2.028103,1,0,0,0,1.208849,0.04,0.06,0.49
0,3_27,15_42_19,2.040784,1,0,0,0,1.22153,0.04,0.06,0.5
0,3_27,15_42_19,2.053115,1,0,0,0,1.233861,0.04,0.06,0.5
0,3_27,15_42_19,2.068919,1,0,0,0,1.249664,0.03,0.06,0.5
0,3_27,15_42_19,2.081566,1,0,0,0,1.262312,0.03,0.06,0.5
0,3_27,15_42_19,2.09359,1,0,0,0,1.274335,0.03,0.06,0.5
0,3_27,15_42_19,2.105122,1,0,0,0,1.285867,0.03,0.06,0.5
0,3_27,15_42_19,2.117416,1,0,0,0,1.298162,0.03,0.06,0.5
0,3_27,15_42_19,2.12973,1,0,0,0,1.310476,0.03,0.06,0.49
0,3_27,15_42_19,2.141657,1,0,0,0,1.322402,0.03,0.06,0.49
0,3_27,15_42_19,2.15392,1,0,0,0,1.334666,0.03,0.06,0.49
0,3_27,15_42_19,2.165641,1,0,0,0,1.346387,0.02,0.06,0.49
0,3_27,15_42_19,2.17754,1,0,0,0,1.358285,0.02,0.06,0.49
0,3_27,15_42_19,2.190195,1,0,0,0,1.370941,0.02,0.06,0.49
0,3_27,15_42_19,2.202501,1,0,0,0,1.383246,0.02,0.06,0.49
0,3_27,15_42_19,2.214395,1,0,0,0,1.395141,0.02,0.06,0.49
0,3_27,15_42_19,2.226345,1,0,0,0,1.407091,0.02,0.06,0.49
