SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,Stage,Context,xPos,yPos,zPos,xRot,yRot,zRot
0,7_25,12_8_26,4.24566,1,0,0,0,0,InstructionPhase,A,-0.1749393,2.483814,0.1163158,1.546647,4.055941,357.4308,
0,7_25,12_9_0,4.26566,1,0,0,0,0.01999998,InstructionPhase,A,-0.1562818,2.468124,0.114506,9.503467,358.913,357.5896,
0,7_25,12_9_0,4.598993,1,0,0,0,0.3533335,InstructionPhase,A,-0.1582496,2.469176,0.1139036,9.003519,358.5883,357.7301,
0,7_25,12_9_0,4.611603,1,0,0,0,0.3659434,InstructionPhase,A,-0.1583706,2.469203,0.113863,9.002425,358.5443,357.764,
0,7_25,12_9_0,4.683217,1,0,0,0,0.4375572,InstructionPhase,A,-0.1594911,2.469359,0.1135684,8.987945,358.3964,357.8851,
0,7_25,12_9_0,4.693027,1,0,0,0,0.4473667,InstructionPhase,A,-0.1596954,2.469383,0.1134803,9.003798,358.368,357.9197,
0,7_25,12_9_0,4.703115,1,0,0,0,0.4574552,InstructionPhase,A,-0.1598539,2.469385,0.113404,9.005126,358.3404,357.9631,
0,7_25,12_9_0,4.71325,1,0,0,0,0.4675899,InstructionPhase,A,-0.1600034,2.469432,0.1133648,8.989232,358.3033,358.0048,
0,7_25,12_9_0,4.72184,1,0,0,0,0.4761806,InstructionPhase,A,-0.1602147,2.469419,0.1132917,8.966974,358.263,358.0378,
0,7_25,12_9_0,4.73186,1,0,0,0,0.4861999,InstructionPhase,A,-0.1604172,2.469464,0.1132835,8.950771,358.2015,358.0898,
0,7_25,12_9_0,4.741936,1,0,0,0,0.4962764,InstructionPhase,A,-0.1606178,2.469513,0.1132189,8.930373,358.1469,358.1351,
0,7_25,12_9_0,4.752375,1,0,0,0,0.5067153,InstructionPhase,A,-0.1608067,2.469561,0.1131626,8.900273,358.0756,358.1905,
0,7_25,12_9_0,4.762244,1,0,0,0,0.5165844,InstructionPhase,A,-0.1610323,2.469635,0.1131049,8.879842,358.0101,358.2488,
0,7_25,12_9_0,4.773284,1,0,0,0,0.5276246,InstructionPhase,A,-0.1611705,2.46963,0.1130819,8.858811,357.9501,358.2783,
0,7_25,12_9_0,4.784492,1,0,0,0,0.5388317,InstructionPhase,A,-0.1614652,2.469636,0.1130191,8.835238,357.8911,358.2762,
0,7_25,12_9_0,4.795572,1,0,0,0,0.549912,InstructionPhase,A,-0.1616582,2.469683,0.1129444,8.805762,357.8098,358.2643,
0,7_25,12_9_0,4.80687,1,0,0,0,0.5612097,InstructionPhase,A,-0.161846,2.469732,0.1130151,8.776587,357.7163,358.273,
0,7_25,12_9_0,4.817938,1,0,0,0,0.572278,InstructionPhase,A,-0.1620644,2.469795,0.1130607,8.7287,357.6114,358.2867,
0,7_25,12_9_0,4.828882,1,0,0,0,0.5832219,InstructionPhase,A,-0.1623021,2.469811,0.1131735,8.679537,357.4644,358.3203,
0,7_25,12_9_0,4.839936,1,0,0,0,0.594276,InstructionPhase,A,-0.162496,2.469818,0.1132051,8.642742,357.3282,358.3445,
0,7_25,12_9_0,4.851085,1,0,0,0,0.6054249,InstructionPhase,A,-0.1628011,2.469751,0.1131593,8.651509,357.183,358.3677,
0,7_25,12_9_0,4.862202,1,0,0,0,0.6165423,InstructionPhase,A,-0.1629225,2.469723,0.1131415,8.668714,357.0563,358.3581,
0,7_25,12_9_0,4.87386,1,0,0,0,0.6282005,InstructionPhase,A,-0.1631259,2.469664,0.1130729,8.690375,356.9322,358.3119,
0,7_25,12_9_0,4.884386,1,0,0,0,0.6387262,InstructionPhase,A,-0.1632797,2.469604,0.1130735,8.705789,356.8233,358.2524,
0,7_25,12_9_0,4.895517,1,0,0,0,0.6498575,InstructionPhase,A,-0.1633825,2.469606,0.1131409,8.739989,356.7236,358.199,
0,7_25,12_9_0,4.906734,1,0,0,0,0.6610737,InstructionPhase,A,-0.1636072,2.469504,0.1132121,8.762092,356.625,358.1583,
0,7_25,12_9_0,4.917926,1,0,0,0,0.672266,InstructionPhase,A,-0.1637347,2.469423,0.1133243,8.791207,356.5307,358.1593,
0,7_25,12_9_0,4.928817,1,0,0,0,0.6831574,InstructionPhase,A,-0.163892,2.469315,0.1134105,8.827653,356.4327,358.1703,
0,7_25,12_9_0,4.939995,1,0,0,0,0.694335,InstructionPhase,A,-0.1639603,2.469223,0.1135372,8.88085,356.3404,358.1976,
0,7_25,12_9_0,4.951126,1,0,0,0,0.7054663,InstructionPhase,A,-0.1639663,2.469098,0.1136578,8.935442,356.2656,358.2167,
0,7_25,12_9_0,4.96209,1,0,0,0,0.7164297,InstructionPhase,A,-0.1639954,2.468983,0.1137761,8.99094,356.2147,358.2191,
0,7_25,12_9_0,4.973204,1,0,0,0,0.7275443,InstructionPhase,A,-0.1639159,2.468941,0.1139991,9.036987,356.1778,358.2072,
0,7_25,12_9_0,4.984326,1,0,0,0,0.7386661,InstructionPhase,A,-0.1639211,2.468862,0.1141368,9.065996,356.1717,358.1962,
0,7_25,12_9_0,4.995411,1,0,0,0,0.7497511,InstructionPhase,A,-0.1638187,2.468705,0.1142771,9.107828,356.1846,358.185,
0,7_25,12_9_0,5.006584,1,0,0,0,0.7609243,InstructionPhase,A,-0.1636505,2.468676,0.1144627,9.148472,356.2076,358.1855,
0,7_25,12_9_0,5.017767,1,0,0,0,0.7721076,InstructionPhase,A,-0.1635166,2.468584,0.1145936,9.188476,356.2254,358.2249,
0,7_25,12_9_0,5.028775,1,0,0,0,0.7831149,InstructionPhase,A,-0.1633228,2.468466,0.1147342,9.22442,356.2486,358.2752,
0,7_25,12_9_0,5.039836,1,0,0,0,0.7941761,InstructionPhase,A,-0.1631545,2.468451,0.1148798,9.246239,356.2629,358.3196,
0,7_25,12_9_0,5.051198,1,0,0,0,0.8055382,InstructionPhase,A,-0.1629642,2.468416,0.1150427,9.227648,356.2889,358.3646,
0,7_25,12_9_0,5.062172,1,0,0,0,0.8165126,InstructionPhase,A,-0.1627555,2.468435,0.1152198,9.198386,356.3171,358.4023,
0,7_25,12_9_0,5.073446,1,0,0,0,0.827786,InstructionPhase,A,-0.1625854,2.468442,0.1154146,9.186476,356.3524,358.4143,
0,7_25,12_9_0,5.084374,1,0,0,0,0.8387146,InstructionPhase,A,-0.1623089,2.468455,0.115586,9.181339,356.3871,358.4111,
0,7_25,12_9_0,5.095414,1,0,0,0,0.8497543,InstructionPhase,A,-0.16207,2.468475,0.1157135,9.188305,356.4284,358.4218,
0,7_25,12_9_0,5.106825,1,0,0,0,0.861165,InstructionPhase,A,-0.1618896,2.468446,0.1157645,9.196654,356.4604,358.3912,
0,7_25,12_9_0,5.117642,1,0,0,0,0.8719821,InstructionPhase,A,-0.1616813,2.468447,0.1158682,9.204776,356.5081,358.3415,
0,7_25,12_9_0,5.129911,1,0,0,0,0.8842516,InstructionPhase,A,-0.1614351,2.468512,0.1159552,9.204784,356.5445,358.284,
