SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,Stage,Anticipated,ResponseTime
0,7_2,11_37_38,62.54342,2,0,2,0,0,CS+,9,2.966125
0,7_2,11_39_3,147.4698,3,0,2,0,0,CS+,6,5.754028
