SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,xPos,yPos,zPos,xRot,yRot,zRot
0,6_16,10_10_11,3.255607,1,0,0,0,0.01449704,-0.08457112,1.087439,0.05749035,349.6419,2.279864,0.5121455,
0,6_16,10_10_11,3.272381,1,0,0,0,0.03127027,-0.08419275,1.087546,0.0572952,349.5574,2.334715,0.4659902,
0,6_16,10_10_11,3.284431,1,0,0,0,0.04332089,-0.08396113,1.087633,0.05716884,349.5152,2.335725,0.4451163,
0,6_16,10_10_11,3.295471,1,0,0,0,0.0543611,-0.08385718,1.087685,0.05704868,349.4878,2.332278,0.427744,
0,6_16,10_10_11,3.307076,1,0,0,0,0.06596613,-0.08366942,1.087759,0.05694675,349.4495,2.330481,0.4086113,
0,6_16,10_10_11,3.318049,1,0,0,0,0.07693863,-0.08360112,1.0878,0.05684888,349.4353,2.311637,0.3976712,
0,6_16,10_10_11,3.328709,1,0,0,0,0.08759832,-0.08350408,1.087783,0.05678177,349.4145,2.289186,0.3792813,
0,6_16,10_10_11,3.340608,1,0,0,0,0.0994978,-0.08345246,1.087733,0.05662501,349.4012,2.25674,0.366609,
0,6_16,10_10_11,3.351902,1,0,0,0,0.1107912,-0.08338165,1.087727,0.05651045,349.414,2.228289,0.377463,
0,6_16,10_10_11,3.361776,1,0,0,0,0.120666,-0.08327782,1.087764,0.05645871,349.4254,2.19404,0.384488,
0,6_16,10_10_11,3.372998,1,0,0,0,0.1318882,-0.08321822,1.08779,0.05635297,349.4304,2.184653,0.3896914,
0,6_16,10_10_11,3.384457,1,0,0,0,0.1433468,-0.08327377,1.087772,0.05623198,349.404,2.152444,0.4092653,
0,6_16,10_10_11,3.3952,1,0,0,0,0.1540892,-0.08321059,1.087823,0.05614507,349.3809,2.14332,0.4077105,
0,6_16,10_10_11,3.406269,1,0,0,0,0.1651587,-0.08315206,1.087879,0.05605888,349.3529,2.131562,0.4024887,
0,6_16,10_10_11,3.417341,1,0,0,0,0.1762311,-0.08305681,1.087971,0.05598319,349.3253,2.125928,0.4096237,
0,6_16,10_10_11,3.428805,1,0,0,0,0.187695,-0.08304632,1.088096,0.05599034,349.2857,2.14957,0.3910659,
0,6_16,10_10_11,3.443165,1,0,0,0,0.202055,-0.0830406,1.088153,0.05595529,349.2361,2.160663,0.3746578,
0,6_16,10_10_11,3.455997,1,0,0,0,0.2148869,-0.08296752,1.088174,0.05594099,349.2014,2.175756,0.3558064,
0,6_16,10_10_11,3.468436,1,0,0,0,0.2273262,-0.08293247,1.088169,0.05586398,349.2016,2.192226,0.354452,
0,6_16,10_10_11,3.479398,1,0,0,0,0.2382874,-0.08287036,1.088172,0.055825,349.1971,2.211959,0.3464408,
0,6_16,10_10_11,3.498245,1,0,0,0,0.2571342,-0.08276498,1.088064,0.05578637,349.2118,2.242834,0.3300263,
0,6_16,10_10_11,3.513046,1,0,0,0,0.2719357,-0.08273518,1.088015,0.05574155,349.2306,2.24527,0.3121241,
0,6_16,10_10_11,3.524943,1,0,0,0,0.2838323,-0.08275795,1.087971,0.05568814,349.2594,2.267502,0.3060764,
0,6_16,10_10_11,3.537931,1,0,0,0,0.2968211,-0.0827111,1.087908,0.0556581,349.2883,2.2802,0.3022075,
0,6_16,10_10_11,3.548961,1,0,0,0,0.3078511,-0.0826546,1.08789,0.05563998,349.2906,2.288364,0.2970859,
0,6_16,10_10_11,3.56087,1,0,0,0,0.3197594,-0.08258736,1.087921,0.05560696,349.2832,2.294002,0.292838,
0,6_16,10_10_11,3.573433,1,0,0,0,0.3323228,-0.08255887,1.087934,0.05561745,349.2791,2.303348,0.2915343,
0,6_16,10_10_11,3.585956,1,0,0,0,0.3448453,-0.08242571,1.088053,0.05562603,349.236,2.299843,0.2902375,
0,6_16,10_10_11,3.597155,1,0,0,0,0.356045,-0.08241022,1.08815,0.05568612,349.2245,2.296234,0.2886811,
0,6_16,10_10_11,3.607754,1,0,0,0,0.3666432,-0.08240402,1.088204,0.05567825,349.1937,2.285585,0.2891887,
0,6_16,10_10_11,3.619789,1,0,0,0,0.3786786,-0.08239532,1.088202,0.05563951,349.1807,2.282702,0.285259,
0,6_16,10_10_11,3.630898,1,0,0,0,0.3897882,-0.08240163,1.088203,0.0556463,349.1717,2.278695,0.2832054,
0,6_16,10_10_11,3.642373,1,0,0,0,0.401263,-0.08239019,1.088244,0.05568767,349.1844,2.26549,0.2871714,
0,6_16,10_10_11,3.653693,1,0,0,0,0.4125831,-0.08242381,1.088215,0.05567646,349.2014,2.256708,0.2932544,
0,6_16,10_10_11,3.665911,1,0,0,0,0.4248009,-0.08244944,1.088179,0.05557609,349.2017,2.244673,0.3025557,
0,6_16,10_10_11,3.676512,1,0,0,0,0.4354017,-0.08240986,1.088251,0.05561912,349.2072,2.22502,0.3190811,
0,6_16,10_10_11,3.687906,1,0,0,0,0.4467957,-0.08239293,1.088264,0.05558467,349.2135,2.20021,0.3291508,
0,6_16,10_10_11,3.699851,1,0,0,0,0.4587405,-0.08239269,1.088287,0.05557048,349.1964,2.184581,0.338456,
0,6_16,10_10_11,3.710658,1,0,0,0,0.469548,-0.08237541,1.088311,0.05558324,349.1838,2.157459,0.3511346,
0,6_16,10_10_11,3.721312,1,0,0,0,0.4802017,-0.08245122,1.088335,0.05564237,349.1664,2.147195,0.3533665,
0,6_16,10_10_11,3.73268,1,0,0,0,0.4915698,-0.08245277,1.088368,0.05567098,349.1443,2.129056,0.3666544,
0,6_16,10_10_11,3.743035,1,0,0,0,0.5019245,-0.08246231,1.088383,0.05565047,349.134,2.111461,0.3819822,
0,6_16,10_10_11,3.755425,1,0,0,0,0.5143144,-0.0824244,1.088423,0.05572057,349.1235,2.101299,0.3805697,
0,6_16,10_10_11,3.766493,1,0,0,0,0.5253823,-0.08239937,1.088401,0.0557729,349.1211,2.081575,0.3949296,
0,6_16,10_10_11,3.777177,1,0,0,0,0.5360665,-0.08238697,1.088383,0.05578959,349.1311,2.061075,0.4057892,
0,6_16,10_10_11,3.789206,1,0,0,0,0.5480959,-0.08235943,1.088349,0.05581224,349.1522,2.054947,0.4094301,
0,6_16,10_10_11,3.800242,1,0,0,0,0.5591321,-0.08236408,1.088312,0.05585277,349.1666,2.047277,0.4219747,
0,6_16,10_10_11,3.811015,1,0,0,0,0.5699048,-0.08232677,1.088251,0.05588639,349.1809,2.039123,0.4182989,
0,6_16,10_10_11,3.822032,1,0,0,0,0.5809221,-0.08234906,1.088209,0.05590546,349.2047,2.038399,0.426895,
