SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,Stage,Anticipated,ResponseTime
0,7_2,10_11_15,62.10163,2,0,2,0,0,CS+,5,3.702454
0,7_2,10_12_38,144.6402,3,0,2,0,0,CS+,5,3.350525
