SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,Stage,xPos,yPos,zPos,xRot,yRot,zRot
0,7_2,10_10_19,6.319864,1,0,0,1,0.7325759,InstructionPhase,-0.2919096,2.434138,0.09596753,356.049,2.409568,357.2289,
0,7_2,10_10_19,6.333132,1,0,0,1,0.7458439,InstructionPhase,-0.2918845,2.434213,0.09597731,356.0362,2.426328,357.1996,
0,7_2,10_10_19,6.346725,1,0,0,1,0.7594361,InstructionPhase,-0.2919155,2.434284,0.09600627,356.0366,2.451058,357.1941,
0,7_2,10_10_19,6.359136,1,0,0,1,0.7718472,InstructionPhase,-0.291937,2.434386,0.09599268,356.0503,2.474678,357.1991,
0,7_2,10_10_19,6.371928,1,0,0,1,0.7846394,InstructionPhase,-0.2919842,2.434516,0.09598935,356.0471,2.492061,357.201,
0,7_2,10_10_19,6.385059,1,0,0,1,0.797771,InstructionPhase,-0.292032,2.434748,0.09594762,356.0128,2.510993,357.2234,
0,7_2,10_10_19,6.398129,1,0,0,1,0.8108411,InstructionPhase,-0.292022,2.434899,0.0960027,355.9836,2.515682,357.2662,
0,7_2,10_10_19,6.410579,1,0,0,1,0.8232908,InstructionPhase,-0.2920651,2.434997,0.09599972,355.9555,2.497848,357.3041,
0,7_2,10_10_19,6.422865,1,0,0,1,0.835577,InstructionPhase,-0.292028,2.435067,0.0959661,355.9524,2.493758,357.3354,
0,7_2,10_10_19,6.436004,1,0,0,1,0.8487158,InstructionPhase,-0.2920623,2.435122,0.09596086,355.9585,2.49686,357.347,
0,7_2,10_10_19,6.448692,1,0,0,1,0.8614039,InstructionPhase,-0.2920394,2.435188,0.09589458,355.9712,2.494506,357.3415,
0,7_2,10_10_19,6.461095,1,0,0,1,0.8738065,InstructionPhase,-0.2920116,2.435353,0.09584057,355.9534,2.508131,357.3318,
0,7_2,10_10_19,6.473842,1,0,0,1,0.8865533,InstructionPhase,-0.2918956,2.435478,0.09584796,355.9323,2.526178,357.313,
0,7_2,10_10_19,6.485766,1,0,0,1,0.8984776,InstructionPhase,-0.2918346,2.435592,0.09582579,355.892,2.561983,357.2933,
0,7_2,10_10_19,6.497822,1,0,0,1,0.9105334,InstructionPhase,-0.2917597,2.435723,0.0958569,355.8338,2.580313,357.2619,
0,7_2,10_10_19,6.511823,1,0,0,1,0.9245348,InstructionPhase,-0.2916905,2.435835,0.09589291,355.7688,2.600636,357.2549,
0,7_2,10_10_19,6.524505,1,0,0,1,0.9372168,InstructionPhase,-0.2917027,2.435918,0.09593296,355.7015,2.619743,357.2565,
0,7_2,10_10_19,6.538834,1,0,0,1,0.9515452,InstructionPhase,-0.2917035,2.435981,0.09599996,355.623,2.642277,357.2124,
0,7_2,10_10_19,6.550602,1,0,0,1,0.9633136,InstructionPhase,-0.2917557,2.435918,0.09599173,355.6467,2.65293,357.2072,
0,7_2,10_10_19,6.563312,1,0,0,1,0.9760237,InstructionPhase,-0.2917309,2.435826,0.09598041,355.7065,2.643666,357.2096,
0,7_2,10_10_19,6.575318,1,0,0,1,0.98803,InstructionPhase,-0.291766,2.435842,0.09599221,355.752,2.653309,357.2347,
0,7_2,10_10_19,6.588066,1,0,0,1,1.000778,InstructionPhase,-0.2917935,2.435811,0.09601021,355.7468,2.664316,357.2348,
0,7_2,10_10_19,6.601285,1,0,0,1,1.013997,InstructionPhase,-0.2917606,2.435817,0.09607291,355.7219,2.668222,357.2265,
0,7_2,10_10_19,6.617149,1,0,0,1,1.029861,InstructionPhase,-0.2916909,2.43589,0.09610379,355.7,2.678024,357.2353,
0,7_2,10_10_19,6.629595,1,0,0,1,1.042307,InstructionPhase,-0.2917968,2.435884,0.09611022,355.6899,2.684054,357.2312,
0,7_2,10_10_19,6.642455,1,0,0,1,1.055166,InstructionPhase,-0.2918063,2.435948,0.09611583,355.7074,2.675306,357.2307,
0,7_2,10_10_20,6.654491,1,0,0,1,1.067203,InstructionPhase,-0.2919751,2.435928,0.09620965,355.7113,2.659049,357.2388,
0,7_2,10_10_20,6.670296,1,0,0,1,1.083007,InstructionPhase,-0.2920914,2.436009,0.09616673,355.6871,2.630298,357.2643,
0,7_2,10_10_20,6.68278,1,0,0,1,1.095492,InstructionPhase,-0.2922455,2.436047,0.09616435,355.6449,2.608077,357.2891,
0,7_2,10_10_20,6.695772,1,0,0,1,1.108483,InstructionPhase,-0.2923523,2.436124,0.09600687,355.5683,2.605333,357.3131,
0,7_2,10_10_20,6.708627,1,0,0,1,1.121339,InstructionPhase,-0.2923715,2.436234,0.0959419,355.5087,2.617871,357.317,
0,7_2,10_10_20,6.721237,1,0,0,1,1.133948,InstructionPhase,-0.2924079,2.4363,0.09588683,355.4682,2.632382,357.3054,
0,7_2,10_10_20,6.73425,1,0,0,1,1.146962,InstructionPhase,-0.2924024,2.436255,0.09575975,355.483,2.646234,357.2886,
0,7_2,10_10_20,6.747137,1,0,0,1,1.159849,InstructionPhase,-0.2925376,2.436209,0.0954814,355.5269,2.653696,357.2742,
0,7_2,10_10_20,6.76003,1,0,0,1,1.172742,InstructionPhase,-0.2925119,2.436307,0.09530783,355.5618,2.65562,357.2726,
0,7_2,10_10_20,6.772886,1,0,0,1,1.185598,InstructionPhase,-0.2925895,2.436565,0.0947932,355.5888,2.678925,357.2437,
0,7_2,10_10_20,6.785283,1,0,0,1,1.197994,InstructionPhase,-0.2926228,2.436841,0.09446752,355.5861,2.74276,357.1798,
0,7_2,10_10_20,6.79768,1,0,0,1,1.210392,InstructionPhase,-0.292871,2.437132,0.09408057,355.5717,2.828592,357.0772,
0,7_2,10_10_20,6.810763,1,0,0,1,1.223475,InstructionPhase,-0.2931248,2.437353,0.09365058,355.5793,2.924388,356.9437,
0,7_2,10_10_20,6.824916,1,0,0,1,1.237628,InstructionPhase,-0.2934856,2.437581,0.09321702,355.594,3.02419,356.8355,
0,7_2,10_10_20,6.838398,1,0,0,1,1.251109,InstructionPhase,-0.2938901,2.437871,0.09271312,355.5853,3.118379,356.7678,
0,7_2,10_10_20,6.854119,1,0,0,1,1.26683,InstructionPhase,-0.2946721,2.438297,0.09189522,355.5028,3.305026,356.6887,
0,7_2,10_10_20,6.866227,1,0,0,1,1.278938,InstructionPhase,-0.2952467,2.438436,0.09153342,355.4386,3.382823,356.6988,
0,7_2,10_10_20,6.878637,1,0,0,1,1.291349,InstructionPhase,-0.2958868,2.438518,0.09115827,355.4122,3.45287,356.6934,
0,7_2,10_10_20,6.89113,1,0,0,1,1.303842,InstructionPhase,-0.2965018,2.438523,0.09076154,355.4575,3.508234,356.7175,
0,7_2,10_10_20,6.903697,1,0,0,1,1.316409,InstructionPhase,-0.2972345,2.438397,0.09036446,355.536,3.557784,356.7572,
0,7_2,10_10_20,6.918214,1,0,0,1,1.330925,InstructionPhase,-0.298524,2.438216,0.08946967,355.6831,3.647788,356.8239,
0,7_2,10_10_20,6.93143,1,0,0,1,1.344142,InstructionPhase,-0.2992574,2.438097,0.08897233,355.8066,3.686111,356.8531,
0,7_2,10_10_20,6.94509,1,0,0,1,1.357802,InstructionPhase,-0.2999495,2.438132,0.08860755,355.8764,3.694934,356.867,
0,7_2,10_10_20,6.957401,1,0,0,1,1.370113,InstructionPhase,-0.3007524,2.438251,0.08818316,355.884,3.733248,356.8502,
0,7_2,10_10_20,6.973678,1,0,0,1,1.38639,InstructionPhase,-0.3014561,2.438483,0.08795953,355.811,3.784511,356.8156,
0,7_2,10_10_20,6.990554,1,0,0,1,1.403265,InstructionPhase,-0.3028675,2.4387,0.08724749,355.7781,3.880887,356.825,
0,7_2,10_10_20,7.007366,1,0,0,1,1.420078,InstructionPhase,-0.30427,2.438835,0.0866437,355.8382,3.98505,356.8762,
0,7_2,10_10_20,7.023442,1,0,0,1,1.436154,InstructionPhase,-0.3050661,2.438762,0.08622193,355.9346,4.06003,356.9693,
0,7_2,10_10_20,7.039553,1,0,0,1,1.452265,InstructionPhase,-0.3057853,2.438735,0.08577156,356.0333,4.150279,357.084,
0,7_2,10_10_20,7.068977,1,0,0,1,1.481688,InstructionPhase,-0.307793,2.438754,0.0843873,356.1711,4.377266,357.4492,
0,7_2,10_10_20,7.085038,1,0,0,1,1.49775,InstructionPhase,-0.3090045,2.438771,0.08335543,356.1816,4.520672,357.6849,
0,7_2,10_10_20,7.101991,1,0,0,1,1.514702,InstructionPhase,-0.3093754,2.438869,0.08270645,356.1158,4.623822,357.7407,
0,7_2,10_10_20,7.118842,1,0,0,1,1.531554,InstructionPhase,-0.3103783,2.43901,0.08168733,356.0604,4.796353,357.9037,
0,7_2,10_10_20,7.13698,1,0,0,1,1.549691,InstructionPhase,-0.3106616,2.438925,0.08126354,356.0457,4.872499,357.9849,
0,7_2,10_10_20,7.154703,1,0,0,1,1.567415,InstructionPhase,-0.3112594,2.438944,0.08046114,356.102,4.995166,358.1222,
0,7_2,10_10_20,7.17029,1,0,0,1,1.583002,InstructionPhase,-0.3113517,2.438897,0.08008504,356.1611,5.016486,358.1428,
0,7_2,10_10_20,7.186163,1,0,0,1,1.598875,InstructionPhase,-0.3116847,2.438874,0.07917416,356.2245,5.081405,358.1803,
0,7_2,10_10_20,7.20296,1,0,0,1,1.615671,InstructionPhase,-0.3115869,2.438875,0.0788399,356.2512,5.077209,358.0858,
0,7_2,10_10_20,7.220218,1,0,0,1,1.632929,InstructionPhase,-0.3114573,2.438869,0.07808554,356.2945,5.094375,357.9548,
0,7_2,10_10_20,7.237735,1,0,0,1,1.650446,InstructionPhase,-0.3112913,2.438859,0.07763016,356.3175,5.10183,357.7914,
0,7_2,10_10_20,7.2538,1,0,0,1,1.666512,InstructionPhase,-0.3110756,2.438737,0.07685935,356.3917,5.14556,357.5379,
0,7_2,10_10_20,7.269879,1,0,0,1,1.68259,InstructionPhase,-0.3108666,2.438733,0.07635939,356.4272,5.179043,357.3865,
0,7_2,10_10_20,7.287721,1,0,0,1,1.700433,InstructionPhase,-0.3105353,2.438699,0.07557118,356.4934,5.230251,357.1212,
0,7_2,10_10_20,7.304648,1,0,0,1,1.71736,InstructionPhase,-0.3104973,2.438644,0.07522833,356.5365,5.221725,357.0085,
0,7_2,10_10_20,7.322437,1,0,0,1,1.735148,InstructionPhase,-0.3104433,2.438631,0.07449627,356.5768,5.179357,356.8187,
0,7_2,10_10_20,7.339484,1,0,0,1,1.752196,InstructionPhase,-0.3105361,2.438612,0.07420099,356.5768,5.107534,356.7888,
0,7_2,10_10_20,7.356291,1,0,0,1,1.769002,InstructionPhase,-0.3106378,2.438568,0.07361197,356.6065,4.986287,356.7168,
0,7_2,10_10_20,7.374257,1,0,0,1,1.786969,InstructionPhase,-0.3107126,2.43857,0.07310569,356.651,4.85946,356.7242,
