SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,xPos,yPos,zPos,xRot,yRot,zRot
0,6_16,10_4_56,4.452904,2,0,0,0,0.5615866,-0.09115434,1.111988,0.1193477,351.5435,356.0686,0.5435758,
0,6_16,10_4_56,4.463837,2,0,0,0,0.5725195,-0.09108984,1.111967,0.1193033,351.5444,356.0568,0.5305286,
0,6_16,10_4_56,4.474307,2,0,0,0,0.5829899,-0.09104609,1.111978,0.119296,351.5403,356.0698,0.5249341,
0,6_16,10_4_56,4.486244,2,0,0,0,0.5949271,-0.09105623,1.112032,0.1193602,351.5301,356.0805,0.5110975,
0,6_16,10_4_56,4.496984,2,0,0,0,0.6056664,-0.09107566,1.112002,0.1192962,351.5265,356.0965,0.5140971,
0,6_16,10_4_56,4.508658,2,0,0,0,0.6173413,-0.09108555,1.112027,0.1192985,351.5152,356.1157,0.5094087,
0,6_16,10_4_56,4.520431,2,0,0,0,0.6291134,-0.09102893,1.112036,0.1192367,351.5055,356.1194,0.5151925,
0,6_16,10_4_56,4.532026,2,0,0,0,0.6407087,-0.09099483,1.112031,0.1192057,351.4925,356.1345,0.5142911,
0,6_16,10_4_56,4.54286,2,0,0,0,0.6515429,-0.09093213,1.11208,0.1191703,351.4897,356.1516,0.5102725,
0,6_16,10_4_56,4.553924,2,0,0,0,0.662607,-0.0909059,1.112092,0.1191045,351.4733,356.1681,0.5155453,
0,6_16,10_4_56,4.565564,2,0,0,0,0.6742465,-0.09092069,1.112164,0.1190643,351.4567,356.1916,0.5154066,
0,6_16,10_4_56,4.576425,2,0,0,0,0.6851079,-0.09088635,1.112176,0.1190523,351.4304,356.2103,0.5079942,
0,6_16,10_4_56,4.586778,2,0,0,0,0.695461,-0.09084368,1.112234,0.1189909,351.4128,356.235,0.514017,
0,6_16,10_4_56,4.598447,2,0,0,0,0.7071297,-0.09081686,1.112303,0.1189021,351.369,356.2693,0.525785,
0,6_16,10_4_56,4.609495,2,0,0,0,0.7181776,-0.09075785,1.112347,0.1188263,351.3321,356.3051,0.5464879,
0,6_16,10_4_57,4.621602,2,0,0,0,0.7302845,-0.09068084,1.112396,0.1187648,351.2965,356.3543,0.5708902,
0,6_16,10_4_57,4.63423,2,0,0,0,0.7429125,-0.0906446,1.112441,0.1186647,351.2787,356.3999,0.5909518,
0,6_16,10_4_57,4.645441,2,0,0,0,0.7541239,-0.09062147,1.11245,0.1186876,351.2395,356.4494,0.6056103,
0,6_16,10_4_57,4.656337,2,0,0,0,0.7650201,-0.09053862,1.112459,0.1186334,351.2167,356.4886,0.6323186,
0,6_16,10_4_57,4.668165,2,0,0,0,0.7768481,-0.09049904,1.112498,0.1185378,351.2182,356.5411,0.6674093,
