SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,screenFixationX,screenFixationY,gazeFixationX,gazeFixationY,gazeFixationZ,localGazeX,localGazeY,localGazeZ,leftEyePositionX,leftEyePositionY,leftEyePositionZ,rightEyePositionX,rightEyePositionY,rightEyePositionZ,leftEyeRotationX,leftEyeRotationY,leftEyeRotationZ,rightEyeRotationX,rightEyeRotationY,rightEyeRotationZ,leftEyePupilSize,rightEyePupilSize,leftEyeOpenAmount,rightEyeOpenAmount,GazeHitPointX,GazeHitPointY,GazeHitPointZ,GameObjectInFocus
0,6_16,10_4_56,4.106827,2,0,0,0,0.2155097,0.77, 0.69,0.56, 1.83, 1.12,-0.05, 0.00, 1.00,30.98, 2.69, -38.72,-32.12, 2.37, -41.84,0.04, 0.01, 1.00,0.10, 0.01, 0.99,2.141846,2.072479,1,1,-1.212049,2.479966,8.777755,Front Wall
0,6_16,10_4_56,4.118979,2,0,0,0,0.2276618,0.77, 0.69,0.56, 1.83, 1.12,-0.05, 0.00, 1.00,30.98, 2.69, -38.72,-32.12, 2.37, -41.84,0.04, 0.01, 1.00,0.10, 0.01, 0.99,2.147339,2.072556,1,1,-1.21568,2.473958,8.777755,Front Wall
0,6_16,10_4_56,4.130648,2,0,0,0,0.239331,0.77, 0.69,0.56, 1.83, 1.12,-0.05, 0.00, 1.00,30.98, 2.67, -38.70,-32.13, 2.37, -41.84,0.04, 0.01, 1.00,0.10, 0.01, 1.00,2.147934,2.072479,1,1,-1.213474,2.479586,8.777755,Front Wall
0,6_16,10_4_56,4.141078,2,0,0,0,0.2497613,0.77, 0.69,0.56, 1.83, 1.12,-0.05, 0.00, 1.00,30.99, 2.67, -38.67,-32.13, 2.37, -41.84,0.04, 0.01, 1.00,0.10, 0.01, 1.00,2.148193,2.07222,1,1,-1.220972,2.477498,8.777755,Front Wall
0,6_16,10_4_56,4.152832,2,0,0,0,0.2615144,0.77, 0.69,0.56, 1.83, 1.12,-0.05, 0.00, 1.00,30.99, 2.67, -38.64,-32.13, 2.37, -41.84,0.04, 0.01, 1.00,0.10, 0.01, 1.00,2.142944,2.071609,1,1,-1.256494,2.462005,8.777755,Front Wall
0,6_16,10_4_56,4.163742,2,0,0,0,0.2724249,0.77, 0.69,0.56, 1.83, 1.12,-0.05, 0.00, 1.00,31.00, 2.66, -38.62,-32.13, 2.37, -41.84,0.04, 0.01, 1.00,0.10, 0.01, 1.00,2.144409,2.07164,1,1,-1.329177,2.460485,8.777755,Front Wall
0,6_16,10_4_56,4.176008,2,0,0,0,0.2846911,0.77, 0.69,0.56, 1.83, 1.12,-0.05, 0.00, 1.00,31.00, 2.64, -38.55,-32.13, 2.37, -41.84,0.04, 0.01, 1.00,0.10, 0.01, 1.00,2.145523,2.071686,1,1,-1.361576,2.46176,8.777755,Front Wall
0,6_16,10_4_56,4.187551,2,0,0,0,0.2962339,0.77, 0.69,0.56, 1.83, 1.12,-0.05, 0.00, 1.00,30.94, 2.86, -39.19,-32.21, 2.78, -43.04,0.02, 0.00, 1.00,0.06, -0.01, 1.00,2.173477,2.023132,1,1,-0.5655105,1.897492,5.25,CS+ Object
0,6_16,10_4_56,4.199374,2,0,0,0,0.3080571,0.77, 0.69,0.56, 1.83, 1.12,-0.05, 0.01, 1.00,30.72, 2.71, -38.71,-32.46, 2.35, -41.73,-0.03, 0.01, 1.00,0.02, 0.01, 1.00,2.108276,2.050308,1,1,-0.3229638,1.952002,5.25,CS+ Object
0,6_16,10_4_56,4.210763,2,0,0,0,0.3194463,0.77, 0.69,0.57, 1.83, 1.12,-0.04, 0.01, 1.00,30.54, 2.82, -39.05,-32.53, 2.55, -42.35,-0.07, 0.02, 1.00,-0.02, 0.01, 1.00,2.139389,2.093857,1,1,-0.1138073,1.977614,5.25,CS+ Object
