SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,Anticipated,ResponseTime
0,6_16,10_6_14,82.21319,2,0,2,0,0,6,34.25378
0,6_16,10_7_50,177.6269,3,0,2,0,0,7,16.25256
